"solute1" "solute2" "solute3" 
0.677064 0.355748 0.644448 
0.656262 0.749408 0.704460 
0.780174 0.227199 0.260949 
0.576394 0.682120 0.839585 
0.263856 0.280919 0.298784 
0.726021 0.748438 0.372718 
0.727250 0.761622 0.797842 
0.677177 0.266034 0.342173 
0.745159 0.746397 0.263814 
0.295037 0.284460 0.359946 
0.715983 0.325935 0.311091 
0.234649 0.232894 0.844978 
0.667023 0.740088 0.271608 
0.231073 0.308058 0.387630 
0.640874 0.698286 0.819055 
0.227073 0.210201 0.277537 
0.156855 0.669442 0.337261 
0.696957 0.722969 0.813286 
0.772363 0.345385 0.332150 
0.337588 0.778364 0.261819 
0.724698 0.737809 0.875729 
0.663428 0.297668 0.324029 
0.274440 0.232498 0.229351 
0.664585 0.688623 0.230981 
0.203068 0.249389 0.340550 
0.766877 0.678549 0.683671 
0.720337 0.346091 0.354799 
0.217064 0.280143 0.332920 
0.640387 0.767967 0.421286 
0.599866 0.735377 0.869229 
0.754807 0.356511 0.305227 
0.649969 0.718625 0.375671 
0.186668 0.262164 0.296961 
0.795593 0.343361 0.241573 
0.558968 0.693570 0.736302 
0.682481 0.318999 0.202478 
0.670633 0.652145 0.757568 
0.206712 0.278635 0.336302 
0.662063 0.800551 0.296063 
0.242753 0.201512 0.270445 
0.350339 0.645283 0.307522 
0.762595 0.280951 0.280349 
0.684704 0.649252 0.835002 
0.242137 0.398609 0.229451 
0.699852 0.269590 0.353981 
0.657207 0.713088 0.766658 
0.718306 0.668477 0.404668 
0.646417 0.292959 0.303461 
0.203583 0.358338 0.329275 
0.752140 0.672318 0.848879 
0.557766 0.673753 0.371722 
0.204028 0.320960 0.340818 
0.658311 0.672439 0.741854 
0.668355 0.643816 0.256990 
0.685108 0.314793 0.279131 
0.695543 0.663978 0.805367 
0.616525 0.703454 0.301564 
0.261660 0.270277 0.309135 
0.720557 0.354012 0.324762 
0.209362 0.339704 0.284305 
0.671713 0.570435 0.269936 
0.724453 0.780911 0.819330 
0.726178 0.249581 0.750358 
0.791927 0.284060 0.341403 
0.681858 0.776477 0.818083 
0.208140 0.679851 0.288987 
0.255836 0.352385 0.224077 
0.721148 0.337188 0.257172 
