"Rc/Ra" "d37Cl" "d81Br" 
0.724548 0.718500 0.670531 
0.607953 0.217687 0.230855 
0.664867 0.268855 0.207684 
0.148868 0.437057 0.557298 
0.709438 0.792806 0.660183 
0.743341 0.702308 0.651651 
0.130266 0.520748 0.548698 
0.596578 0.269181 0.202568 
0.754627 0.759633 0.666513 
0.591595 0.252903 0.227508 
0.130800 0.456117 0.544019 
0.716256 0.744805 0.707482 
0.157485 0.477960 0.490743 
0.621091 0.261309 0.233589 
0.690361 0.803944 0.705465 
0.138730 0.414251 0.503508 
0.654594 0.253074 0.244337 
0.738831 0.763533 0.727024 
0.136504 0.413807 0.578160 
0.629814 0.304895 0.206931 
0.673876 0.773064 0.627636 
0.665243 0.273963 0.156477 
0.163240 0.447717 0.512081 
0.659296 0.259548 0.234023 
0.741864 0.754760 0.702677 
0.136357 0.476514 0.560433 
0.729760 0.722328 0.665356 
0.601216 0.282963 0.138934 
0.172846 0.495140 0.530049 
0.136466 0.557475 0.525910 
0.641487 0.227138 0.165679 
0.750482 0.748778 0.697584 
0.689723 0.712682 0.695235 
0.654751 0.285233 0.219472 
0.134083 0.460286 0.518898 
0.625584 0.210827 0.215267 
0.714897 0.758648 0.648526 
0.206239 0.471664 0.528368 
0.609152 0.260202 0.241999 
0.135426 0.552608 0.513761 
0.749907 0.705959 0.681882 
0.671619 0.782884 0.191144 
0.170044 0.433071 0.558884 
0.668536 0.264920 0.625376 
0.666030 0.300696 0.644814 
0.670316 0.803324 0.204131 
0.133197 0.390299 0.533819 
0.135476 0.485412 0.533314 
0.647752 0.268896 0.692621 
0.700389 0.793305 0.207584 
0.158249 0.414168 0.536537 
0.671324 0.787345 0.655407 
0.678282 0.275694 0.182327 
0.618747 0.245985 0.277629 
0.150248 0.516052 0.495200 
0.741128 0.719853 0.692880 
0.138595 0.530620 0.551588 
0.630967 0.230760 0.227578 
0.719476 0.690013 0.727597 
0.636122 0.240749 0.212740 
0.168850 0.459695 0.544645 
0.719179 0.716175 0.669388 
0.168711 0.430597 0.553949 
0.711126 0.764926 0.681553 
0.626958 0.274957 0.199294 
0.645149 0.235381 0.269057 
0.720816 0.737735 0.692381 
0.148716 0.474601 0.529687 
0.653865 0.239977 0.269036 
0.745290 0.754358 0.719801 
0.128305 0.510961 0.495019 
0.716777 0.778062 0.651724 
0.160148 0.431256 0.510997 
0.649812 0.268746 0.177640 
0.151868 0.411805 0.528911 
0.639713 0.260327 0.192475 
0.686942 0.611009 0.555809 
0.689771 0.801224 0.667578 
0.623976 0.224899 0.218709 
0.714339 0.759548 0.627139 
0.158727 0.437184 0.555173 
0.665174 0.756374 0.709841 
0.677713 0.271663 0.145282 
0.166246 0.445287 0.529524 
0.166457 0.578001 0.530173 
0.742485 0.760776 0.652064 
0.571535 0.204828 0.308218 
0.614960 0.325935 0.175024 
0.152025 0.543894 0.564243 
0.731183 0.689643 0.735586 
0.610491 0.243276 0.148196 
0.710745 0.718519 0.709994 
0.170585 0.463751 0.483389 
0.618776 0.237562 0.211409 
0.609695 0.254120 0.171880 
0.715359 0.716835 0.622322 
0.178428 0.500876 0.591292 
0.650409 0.262403 0.159767 
0.705276 0.770128 0.727993 
0.178435 0.453606 0.535255 
0.697287 0.786611 0.706411 
0.643000 0.254981 0.139387 
0.126357 0.512404 0.489492 
0.161420 0.406792 0.508513 
0.678790 0.296801 0.221232 
0.689275 0.788339 0.681266 
0.156091 0.515262 0.572956 
